run_question,round,question_id,committed_class,visible_class,current_preview_has_gold,first_positive_tau
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,None,None,False,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,None,None,False,0.1428571428571428
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Partial,Partial,True,0.375
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Partial,Partial,True,0.6
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Partial,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,None,Partial,True,0.1363636363636363
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Partial,Partial,True,0.2727272727272727
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Partial,Partial,True,0.4285714285714285
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Partial,Partial,True,0.5714285714285714
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Partial,Partial,True,0.4545454545454545
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Partial,Partial,True,0.1304347826086956
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Partial,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,None,Partial,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Partial,Partial,True,0.3846153846153846
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,None,Partial,True,0.3
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,None,Partial,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,None,Partial,True,0.2857142857142857
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,None,Partial,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Partial,Partial,True,0.6
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,None,Complete,True,0.6
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,None,Partial,True,0.375
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,None,Partial,True,0.2857142857142857
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,None,Partial,True,0.1666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,None,Partial,True,0.1538461538461538
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Partial,Partial,True,0.6
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,None,Partial,True,0.2857142857142857
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,None,Partial,True,0.1666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,None,Partial,True,0.1428571428571428
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,None,Partial,True,0.1538461538461538
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,None,Partial,False,0.625
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,None,Partial,True,0.125
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,None,Complete,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Partial,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Never,Never,False,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,None,Partial,True,0.1333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,None,Partial,True,0.1052631578947368
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Partial,Partial,True,0.1578947368421052
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,None,Partial,True,0.1333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,None,Partial,True,0.25
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Partial,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,None,Complete,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,None,Complete,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,None,Partial,False,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Partial,Partial,True,0.2307692307692307
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Never,Never,False,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,None,Partial,True,0.2
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Partial,Partial,False,0.4166666666666667
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,None,None,False,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Partial,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,None,None,False,0.4285714285714285
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,None,Complete,True,0.1818181818181818
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,None,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Partial,Complete,True,0.8
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,None,Partial,True,0.2857142857142857
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,None,Partial,True,0.4
