run_question,round,question_id,first_visible_any_tau,first_visible_any_step,first_s_positive_tau,first_s_positive_step,first_committed_any_tau,first_committed_any_step,first_visible_full_tau,first_visible_full_step,first_committed_full_tau,first_committed_full_step
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,0.2857142857142857,2.0,0.4285714285714285,3.0,0.4285714285714285,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,0.4,2.0,0.4,2.0,0.6,3.0,1.0,5.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,0.2857142857142857,2.0,0.5714285714285714,4.0,0.5714285714285714,4.0,0.8571428571428571,6.0,1.0,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,0.3333333333333333,2.0,0.3333333333333333,2.0,0.6666666666666666,4.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,0.3333333333333333,2.0,0.3333333333333333,2.0,0.6666666666666666,4.0,0.5,3.0,0.6666666666666666,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,0.1818181818181818,2.0,0.4545454545454545,5.0,0.3636363636363636,4.0,0.8181818181818182,9.0,0.9090909090909092,10.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,0.0869565217391304,2.0,0.1304347826086956,3.0,0.1304347826086956,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,0.3333333333333333,2.0,0.3333333333333333,2.0,0.5,3.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,0.2222222222222222,2.0,0.3333333333333333,3.0,0.3333333333333333,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,0.25,2.0,0.25,2.0,0.375,3.0,0.5,4.0,0.625,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,0.1538461538461538,2.0,0.3846153846153846,5.0,0.3846153846153846,5.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,0.2,2.0,0.3,3.0,0.4,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,0.4,2.0,0.4,2.0,0.6,3.0,1.0,5.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,0.5,2.0,0.5,2.0,1.0,4.0,1.0,4.0,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,0.25,2.0,0.25,2.0,0.5,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,0.6666666666666666,2.0,0.6666666666666666,2.0,,,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,0.4,2.0,0.4,2.0,0.6,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,0.2857142857142857,2.0,0.2857142857142857,2.0,0.4285714285714285,3.0,0.7142857142857143,5.0,1.0,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,0.25,2.0,0.25,2.0,0.375,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,0.5,2.0,0.5,2.0,1.0,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,0.3333333333333333,2.0,0.3333333333333333,2.0,0.6666666666666666,4.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,0.4,2.0,0.6,3.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,0.4,2.0,0.6,3.0,1.0,5.0,0.6,3.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,0.25,2.0,0.375,3.0,0.5,4.0,0.875,7.0,1.0,8.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,0.2857142857142857,2.0,0.2857142857142857,2.0,0.5714285714285714,4.0,0.4285714285714285,3.0,0.7142857142857143,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,0.1666666666666666,2.0,0.1666666666666666,2.0,0.25,3.0,0.9166666666666666,11.0,1.0,12.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,0.3333333333333333,2.0,0.5,3.0,0.6666666666666666,4.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,0.1538461538461538,2.0,0.1538461538461538,2.0,0.2307692307692307,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,0.5,2.0,0.5,2.0,0.75,3.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,0.6,3.0,0.6,3.0,0.6,3.0,0.8,4.0,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,0.2857142857142857,2.0,0.2857142857142857,2.0,0.4285714285714285,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,0.1666666666666666,2.0,0.1666666666666666,2.0,0.4166666666666667,5.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,0.1428571428571428,2.0,0.1428571428571428,2.0,0.3571428571428571,5.0,0.2857142857142857,4.0,0.3571428571428571,5.0
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.1538461538461538,2.0,0.1538461538461538,2.0,0.2307692307692307,3.0,,,,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,0.25,2.0,0.625,5.0,1.0,8.0,,,,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,0.125,2.0,0.125,2.0,0.25,4.0,,,,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,,,,
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,0.3333333333333333,2.0,0.3333333333333333,2.0,0.5,3.0,0.3333333333333333,2.0,1.0,6.0
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
