round,question_id,decision_step,trajectory_length,tau,committed_r,native_s,action,correct,conflicted,gold_hop_count,committed_coverage_r,current_preview_hop_indices,current_preview_gold_count,current_preview_coverage,current_read_result_hop_indices,current_tool_hop_indices,visible_or_committed_hop_indices,visible_or_committed_coverage,cumulative_preview_hop_indices,ever_seen_or_committed_hop_indices,ever_seen_or_committed_coverage,run_question,native_positive,terminal,prev_native_s,delta_native_s,prev_committed_r,delta_committed_r,prev_current_preview_coverage,delta_current_preview_coverage,prev_ever_seen_or_committed_coverage,delta_ever_seen_or_committed_coverage,full_committed,current_preview_any,prev_native_positive,reversal
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,6,0.5,0.5,0.125,"[""search""]",True,False,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,False,2.1874999701976776,-2.0624999701976776,0.0,0.5,0.5,-0.5,0.5,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,4,6,0.6666666666666666,0.5,3.875000041909516,"[""read""]",True,False,2,0.5,[2],1,0.5,[],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,False,0.125,3.750000041909516,0.5,0.0,0.0,0.5,0.5,0.5,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,5,6,0.8333333333333334,1.0,7.62500018402352,"[""read""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,False,3.875000041909516,3.750000142114004,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,6,6,1.0,1.0,5.125000232364982,"[""finish""]",True,False,2,1.0,[],0,0.0,[],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,True,7.62500018402352,-2.4999999516585376,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,1,6,0.1666666666666666,0.0,-5.375000173225999,"[""search""]",False,True,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,2,6,0.3333333333333333,0.0,-3.000000096857548,"[""search""]",False,True,4,0.0,[1],1,0.25,[],[1],[1],0.25,[1],[1],0.25,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,False,-5.375000173225999,2.3750000763684507,0.0,0.0,0.0,0.25,0.0,0.25,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,3,6,0.5,0.0,-0.75,"[""search""]",False,True,4,0.0,"[1,2]",2,0.5,[],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,False,-3.000000096857548,2.250000096857548,0.0,0.0,0.25,0.25,0.25,0.25,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,6,0.6666666666666666,0.0,0.5,"[""search""]",False,True,4,0.0,"[2,3]",2,0.5,[],"[2,3]","[2,3]",0.5,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,False,-0.75,1.25,0.0,0.0,0.5,0.0,0.5,0.25,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,5,6,0.8333333333333334,0.0,0.4375,"[""read""]",False,True,4,0.0,[4],1,0.25,[],[4],[4],0.25,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,False,0.5,-0.0625,0.0,0.0,0.5,-0.25,0.75,0.25,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,6,6,1.0,1.0,6.625000047613867,"[""finish""]",False,True,4,1.0,[],0,0.0,"[1,2,3,4]","[1,2,3,4]","[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,True,0.4375,6.187500047613867,0.0,1.0,0.25,-0.25,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,1,14,0.0714285714285714,0.0,-5.124999884981662,"[""search""]",False,True,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,2,14,0.1428571428571428,0.0,-0.25,"[""read""]",False,True,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-5.124999884981662,4.874999884981662,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,14,0.2142857142857142,0.3333333333333333,2.5000001043081284,"[""search""]",False,True,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,True,False,-0.25,2.7500001043081284,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,4,14,0.2857142857142857,0.3333333333333333,2.5000000298023224,"[""search""]",False,True,3,0.3333333333333333,[2],1,0.3333333333333333,[],[2],"[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,True,False,2.5000001043081284,-7.450580596923828e-08,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,5,14,0.3571428571428571,0.3333333333333333,2.1250000447034836,"[""read""]",False,True,3,0.3333333333333333,"[2,3]",2,0.6666666666666666,[],"[2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,True,False,2.5000000298023224,-0.3749999850988388,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.33333333333333337,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,6,14,0.4285714285714285,1.0,6.437499922234565,"[""search""]",False,True,3,1.0,[],0,0.0,"[2,3]","[2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,True,False,2.1250000447034836,4.312499877531081,0.3333333333333333,0.6666666666666667,0.6666666666666666,-0.6666666666666666,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,7,14,0.5,1.0,1.25,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,True,False,6.437499922234565,-5.187499922234565,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,8,14,0.5714285714285714,1.0,-0.375,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,1.25,-1.625,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,9,14,0.6428571428571429,1.0,-1.1249999701976776,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-0.375,-0.7499999701976776,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,10,14,0.7142857142857143,1.0,-1.3750000596046448,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-1.1249999701976776,-0.25000008940696716,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,11,14,0.7857142857142857,1.0,-2.4375000558793545,"[""read""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-1.3750000596046448,-1.0624999962747097,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,12,14,0.8571428571428571,1.0,-1.3749999478459358,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-2.4375000558793545,1.0625001080334187,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,13,14,0.9285714285714286,1.0,-3.0625000093132257,"[""search""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,-1.3749999478459358,-1.68750006146729,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,14,14,1.0,1.0,-3.25,"[""finish""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,True,-3.0625000093132257,-0.18749999068677425,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,5,0.2,0.0,-4.000000113621354,"[""search""]",True,False,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,5,0.4,0.0,2.750000052154064,"[""read""]",True,False,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,False,-4.000000113621354,6.750000165775418,0.0,0.0,0.0,0.5,0.0,0.5,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,3,5,0.6,0.5,4.249999823048711,"[""search""]",True,False,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,False,2.750000052154064,1.4999997708946466,0.0,0.5,0.5,-0.5,0.5,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,4,5,0.8,0.5,4.000000109896064,"[""read""]",True,False,2,0.5,[2],1,0.5,[],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,False,4.249999823048711,-0.24999971315264702,0.5,0.0,0.0,0.5,0.5,0.5,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,5,5,1.0,1.0,6.8749999985448085,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,True,4.000000109896064,2.8749998886487447,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,4,0.25,0.0,-3.375000022351742,"[""search""]",True,False,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,4,0.5,0.0,2.374999925494194,"[""search""]",True,False,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,False,-3.375000022351742,5.749999947845936,0.0,0.0,0.0,0.5,0.0,0.5,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,4,0.75,0.0,1.5000000447034836,"[""read""]",True,False,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,False,2.374999925494194,-0.8749998807907104,0.0,0.0,0.5,0.5,0.5,0.5,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,4,4,1.0,1.0,6.93749994126847,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,True,1.5000000447034836,5.437499896564987,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,3,0.3333333333333333,0.0,-3.874999964609742,"[""search""]",True,False,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,3,0.6666666666666666,0.0,3.250000085681677,"[""read""]",True,False,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,False,-3.874999964609742,7.125000050291419,0.0,0.0,0.0,1.0,0.0,1.0,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,3,1.0,1.0,8.62499989765638,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,True,3.250000085681677,5.374999811974703,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,1,4,0.25,0.0,-4.2500001937150955,"[""search""]",True,False,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,4,0.5,0.0,2.8750001043081284,"[""search""]",True,False,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,False,-4.2500001937150955,7.125000298023224,0.0,0.0,0.0,0.5,0.0,0.5,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,3,4,0.75,0.0,3.18750006146729,"[""read""]",True,False,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,False,2.8750001043081284,0.31249995715916157,0.0,0.0,0.5,0.0,0.5,0.0,False,True,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,4,4,1.0,1.0,7.875000072934199,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,[1],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,True,3.18750006146729,4.687500011466909,0.0,1.0,0.5,-0.5,0.5,0.5,True,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,1,8,0.125,0.0,-4.874999864958227,"[""search""]",False,True,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,2,8,0.25,0.0,-0.5,"[""read""]",False,True,4,0.0,"[1,2]",2,0.5,[],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,False,False,-4.874999864958227,4.374999864958227,0.0,0.0,0.0,0.5,0.0,0.5,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,3,8,0.375,0.25,1.1875000149011612,"[""search""]",False,True,4,0.25,[2],1,0.25,[1],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,False,-0.5,1.6875000149011612,0.0,0.25,0.5,-0.25,0.5,0.0,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,8,0.5,0.25,-2.4375000298023224,"[""search""]",False,True,4,0.25,[2],1,0.25,[],[2],"[1,2]",0.5,"[1,2]","[1,2]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,False,False,1.1875000149011612,-3.6250000447034836,0.25,0.0,0.25,0.0,0.5,0.0,False,True,True,True
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,5,8,0.625,0.25,1.7500000596046448,"[""read""]",False,True,4,0.25,"[2,3]",2,0.5,[],"[2,3]","[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,False,-2.4375000298023224,4.187500089406967,0.25,0.0,0.25,0.25,0.5,0.25,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,6,8,0.75,0.75,3.124999964609742,"[""search""]",False,True,4,0.75,[],0,0.0,"[2,3]","[2,3]","[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,False,1.7500000596046448,1.3749999050050974,0.25,0.5,0.5,-0.5,0.75,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,7,8,0.875,0.75,1.8124999701976776,"[""read""]",False,True,4,0.75,[],0,0.0,[],[],"[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,False,3.124999964609742,-1.3124999944120646,0.75,0.0,0.0,0.0,0.75,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,8,8,1.0,0.75,6.124999770661816,"[""finish""]",False,True,4,0.75,[],0,0.0,[],[],"[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,True,1.8124999701976776,4.312499800464138,0.75,0.0,0.0,0.0,0.75,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,1,11,0.0909090909090909,0.0,-4.374999896623194,"[""search""]",False,True,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,2,11,0.1818181818181818,0.0,-3.1250001154839993,"[""search""]",False,True,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,False,-4.374999896623194,1.249999781139195,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,11,0.2727272727272727,0.0,-7.249999904539436,"[""search""]",False,True,3,0.0,[],0,0.0,[],[],[],0.0,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,False,-3.1250001154839993,-4.124999789055437,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,False,False,False,False
