run_question,round,question_id,correct,trajectory_length,ever_positive,first_positive_step,first_positive_tau,first_positive_committed_r,first_positive_visible_r,first_positive_has_current_gold_preview,first_positive_before_committed_full,committed_class_at_first_positive,visible_class_at_first_positive,sign_reversals,crossing_class
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,False,5,True,2.0,0.4,0.0,0.25,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,False,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,False,7,True,3.0,0.4285714285714285,0.0,0.75,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,False,7,True,3.0,0.4285714285714285,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,False,9,True,2.0,0.2222222222222222,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,True,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,True,8,True,3.0,0.375,0.25,0.5,True,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,False,8,True,3.0,0.375,0.0,0.25,False,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,False,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,False,22,False,,,,,False,False,Never positive,Never positive,0,Never positive
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,False,12,True,2.0,0.1666666666666666,0.0,0.3333333333333333,True,True,None,Partial,2,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,False,13,False,,,,,False,False,Never positive,Never positive,0,Never positive
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,True,8,True,2.0,0.25,0.0,0.25,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,False,10,True,5.0,0.5,0.25,0.25,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,False,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,True,10,True,3.0,0.3,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,True,5,True,3.0,0.6,0.0,0.0,False,True,None,None,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,True,12,True,3.0,0.25,0.5,1.0,True,True,Partial,Complete,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,False,7,True,2.0,0.2857142857142857,0.0,0.25,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,True,6,True,4.0,0.6666666666666666,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,False,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,False,8,True,2.0,0.25,0.0,0.0,False,True,None,None,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,False,14,True,2.0,0.1428571428571428,0.0,0.0,False,True,None,None,2,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,True,8,True,3.0,0.375,0.25,0.25,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,True,5,True,3.0,0.6,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,True,6,True,2.0,0.3333333333333333,0.0,0.25,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,False,6,True,2.0,0.3333333333333333,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,False,6,True,2.0,0.3333333333333333,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,True,9,True,3.0,0.3333333333333333,0.25,0.25,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,False,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,False,22,True,3.0,0.1363636363636363,0.0,0.6666666666666666,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,False,11,True,3.0,0.2727272727272727,0.5,0.5,False,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,False,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,False,7,True,3.0,0.4285714285714285,0.25,0.25,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,False,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,False,7,True,4.0,0.5714285714285714,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,False,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,True,6,True,2.0,0.3333333333333333,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,True,6,True,2.0,0.3333333333333333,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,True,11,True,5.0,0.4545454545454545,0.25,0.5,True,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,False,23,True,3.0,0.1304347826086956,0.5,0.5,False,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,True,6,True,2.0,0.3333333333333333,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,False,9,True,3.0,0.3333333333333333,0.25,0.5,True,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,True,8,True,2.0,0.25,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,False,13,True,5.0,0.3846153846153846,0.75,0.75,False,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,False,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,False,10,True,3.0,0.3,0.0,0.75,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,False,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,False,8,True,2.0,0.25,0.0,0.5,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,False,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,False,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,False,7,True,2.0,0.2857142857142857,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,False,8,True,2.0,0.25,0.0,0.25,True,True,None,Partial,2,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,False,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,True,6,True,2.0,0.3333333333333333,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,False,5,True,3.0,0.6,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,True,5,True,3.0,0.6,0.0,1.0,True,True,None,Complete,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,False,8,True,3.0,0.375,0.0,0.6666666666666666,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,False,7,True,2.0,0.2857142857142857,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,False,12,True,2.0,0.1666666666666666,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,True,6,True,3.0,0.5,0.0,0.6666666666666666,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,False,13,True,2.0,0.1538461538461538,0.0,0.25,True,True,None,Partial,2,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,False,5,True,3.0,0.6,0.5,0.5,False,True,Partial,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,False,7,True,2.0,0.2857142857142857,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,False,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,False,12,True,2.0,0.1666666666666666,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,True,14,True,2.0,0.1428571428571428,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,13,True,2.0,0.1538461538461538,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,1,Reversal
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,8,True,5.0,0.625,0.0,0.25,False,True,None,Partial,0,Single transition
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,16,True,2.0,0.125,0.0,0.3333333333333333,True,True,None,Partial,1,Reversal
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,False,3,True,2.0,0.6666666666666666,0.0,0.5,True,True,None,Partial,0,Single transition
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,6,True,2.0,0.3333333333333333,0.0,1.0,True,True,None,Complete,0,Single transition
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
