round,question_id,decision_step,gold_hop_count,committed_coverage_r,current_preview_hop_indices,current_preview_gold_count,current_preview_coverage,current_read_result_hop_indices,current_tool_hop_indices,visible_or_committed_hop_indices,visible_or_committed_coverage,cumulative_preview_hop_indices,ever_seen_or_committed_hop_indices,ever_seen_or_committed_coverage
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,2,4,0.0,[1],1,0.25,[],[1],[1],0.25,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,3,4,0.0,"[1,2]",2,0.5,[],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,4,0.0,"[2,3]",2,0.5,[],"[2,3]","[2,3]",0.5,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,5,4,0.0,[4],1,0.25,[],[4],[4],0.25,"[1,2,3,4]","[1,2,3,4]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,6,4,1.0,[],0,0.0,"[1,2,3,4]","[1,2,3,4]","[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,1,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,2,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,4,3,0.3333333333333333,[2],1,0.3333333333333333,[],[2],"[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,5,3,0.3333333333333333,"[2,3]",2,0.6666666666666666,[],"[2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,6,3,1.0,[],0,0.0,"[2,3]","[2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,7,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,8,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,9,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,10,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,11,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,12,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,13,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,14,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,4,2,0.5,[2],1,0.5,[],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,5,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,4,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,3,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,4,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,[1],"[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,2,4,0.0,"[1,2]",2,0.5,[],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,3,4,0.25,[2],1,0.25,[1],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,4,0.25,[2],1,0.25,[],[2],"[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,5,4,0.25,"[2,3]",2,0.5,[],"[2,3]","[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,6,4,0.75,[],0,0.0,"[2,3]","[2,3]","[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,7,4,0.75,[],0,0.0,[],[],"[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,8,4,0.75,[],0,0.0,[],[],"[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,1,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,2,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,3,0.0,[],0,0.0,[],[],[],0.0,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,4,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,5,3,0.0,[],0,0.0,[],[],[],0.0,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,6,3,0.0,[],0,0.0,[],[],[],0.0,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,7,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,8,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,9,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,10,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,11,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,2,4,0.0,[1],1,0.25,[],[1],[1],0.25,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,3,4,0.25,[],0,0.0,[1],[1],[1],0.25,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,4]","[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,5,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,4]","[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,2,4,0.0,"[1,3]",2,0.5,[],"[1,3]","[1,3]",0.5,"[1,3]","[1,3]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,3,4,0.25,[3],1,0.25,[1],"[1,3]","[1,3]",0.5,"[1,3]","[1,3]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,3,4]","[1,3,4]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,5,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,3,4]","[1,3,4]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,2,4,0.0,[1],1,0.25,[],[1],[1],0.25,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,3,4,0.0,"[1,2,3]",3,0.75,[],"[1,2,3]","[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,4,0.0,[],0,0.0,[],[],[],0.0,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,5,4,0.25,[],0,0.0,[1],[1],[1],0.25,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,6,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,7,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2,3]","[1,2,3]",0.75
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,1,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,2,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,3,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,4,3,0.0,[2],1,0.3333333333333333,[],[2],[2],0.3333333333333333,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,5,3,0.0,"[2,3]",2,0.6666666666666666,[],"[2,3]","[2,3]",0.6666666666666666,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,6,3,0.0,[3],1,0.3333333333333333,[],[3],[3],0.3333333333333333,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,7,3,1.0,[],0,0.0,"[1,2,3]","[1,2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,3,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,[1],"[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,4,2,1.0,[],0,0.0,[],[],"[1,2]",1.0,[1],"[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,1,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,2,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,4,3,0.3333333333333333,[2],1,0.3333333333333333,[],"[1,2]","[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,5,3,0.3333333333333333,[],0,0.0,[],[1],[1],0.3333333333333333,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,6,3,0.3333333333333333,[2],1,0.3333333333333333,[],"[1,2]","[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,7,3,0.6666666666666666,[],0,0.0,[2],"[1,2]","[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,8,3,0.6666666666666666,[],0,0.0,[],"[1,2]","[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,9,3,0.6666666666666666,[],0,0.0,[],[],"[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,4,2,0.5,[2],1,0.5,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,5,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,2,4,0.0,"[1,2]",2,0.5,[],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,3,4,0.25,[2],1,0.25,[1],"[1,2]","[1,2]",0.5,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,5,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,6,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,7,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,8,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,3,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,1,4,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,2,4,0.0,[1],1,0.25,[],[1],[1],0.25,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,3,4,0.0,[],0,0.0,[],[],[],0.0,[1],[1],0.25
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,4,0.5,[],0,0.0,"[1,4]","[1,4]","[1,4]",0.5,[1],"[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,5,4,0.5,[],0,0.0,[],[],"[1,4]",0.5,[1],"[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,6,4,0.5,[],0,0.0,[],[],"[1,4]",0.5,[1],"[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,7,4,0.5,[],0,0.0,[],[],"[1,4]",0.5,[1],"[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,8,4,0.5,[],0,0.0,[],[],"[1,4]",0.5,[1],"[1,4]",0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,4,2,0.5,[],0,0.0,[],[],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,5,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,[1],"[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,3,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,4,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,2,0.0,"[1,2]",2,1.0,[],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,3,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,1,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,3,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5
