round,question_id,decision_step,trajectory_length,tau,committed_r,native_s,action,correct,conflicted,gold_hop_count,committed_coverage_r,current_preview_hop_indices,current_preview_gold_count,current_preview_coverage,current_read_result_hop_indices,current_tool_hop_indices,visible_or_committed_hop_indices,visible_or_committed_coverage,cumulative_preview_hop_indices,ever_seen_or_committed_hop_indices,ever_seen_or_committed_coverage,run_question,native_positive,terminal,prev_native_s,delta_native_s,prev_committed_r,delta_committed_r,prev_current_preview_coverage,delta_current_preview_coverage,prev_ever_seen_or_committed_coverage,delta_ever_seen_or_committed_coverage,full_committed,current_preview_any,prev_native_positive,reversal,p,tau2,full,round2,round3
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,5,5,1.0,0.25,5.499999886844307,"[""finish""]",False,True,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,3,4]","[1,3,4]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,True,True,2.375000037252903,3.124999849591404,0.25,0.0,0.25,0.0,0.75,0.0,False,True,True,False,0.9959298618254192,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,7,7,1.0,0.25,4.562499876134098,"[""finish""]",False,True,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,True,True,3.1874999534338713,1.3749999227002263,0.25,0.0,0.0,0.0,0.75,0.0,False,False,True,False,0.9896718462146017,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,7,7,1.0,1.0,3.624999923631549,"[""finish""]",False,True,3,1.0,[],0,0.0,"[1,2,3]","[1,2,3]","[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,True,True,0.5000000149011612,3.1249999087303877,0.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,0.0,True,False,True,False,0.9740426408713359,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,4,4,1.0,1.0,5.500000111758709,"[""finish""]",True,False,2,1.0,[],0,0.0,[],[],"[1,2]",1.0,[1],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,True,True,5.7500001976732165,-0.2500000859145075,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,0.9959298627371258,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,9,9,1.0,0.6666666666666666,9.624999644685886,"[""finish""]",False,False,3,0.6666666666666666,[],0,0.0,[],[],"[1,2]",0.6666666666666666,"[1,2]","[1,2]",0.6666666666666666,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,True,True,2.8750001154839993,6.749999529201887,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,False,False,True,False,0.9999339478316775,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,5,5,1.0,1.0,7.374999839696102,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,True,True,3.2499999571591616,4.12499988253694,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9993736657415495,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,3,3,1.0,0.5,8.874999652602128,"[""finish""]",True,False,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,True,True,3.3125000707805157,5.562499581821612,0.0,0.5,0.5,-0.5,0.5,0.0,False,False,True,False,0.9998601778757856,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,8,8,1.0,0.25,4.93749986239709,"[""finish""]",True,True,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,2]","[1,2]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,True,True,6.5625000527943484,-1.6250001903972588,0.25,0.0,0.0,0.0,0.5,0.0,False,False,True,False,0.992878570281314,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,3,3,1.0,1.0,7.2499998972634785,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,True,True,1.7500000447034836,5.499999852559995,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9992903295280421,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,8,8,1.0,0.5,5.249999984400347,"[""finish""]",False,True,4,0.5,[],0,0.0,[],[],"[1,4]",0.5,[1],"[1,4]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,True,True,3.6250000428408384,1.6249999415595084,0.5,0.0,0.0,0.0,0.5,0.0,False,False,True,False,0.9947798742254346,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,5,5,1.0,1.0,6.749999873689376,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,[1],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,True,True,3.250000024214387,3.499999849474989,0.5,0.5,0.0,0.0,0.5,0.5,True,False,True,False,0.9988304895873956,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,4,4,1.0,1.0,9.000000007683411,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,True,True,3.1250001154839993,5.874999892199412,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9998766054249618,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,3,3,1.0,0.5,5.874999905703589,"[""finish""]",False,False,2,0.5,[],0,0.0,[1],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,True,True,3.312500035390258,2.5624998703133315,0.0,0.5,0.5,-0.5,0.5,0.0,False,False,True,False,0.9971990727695015,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,3,3,1.0,1.0,10.25000000073851,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,True,True,2.812499923631549,7.437500077106961,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9999646437492844,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,5,5,1.0,1.0,8.5625001379085,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],"[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,True,True,3.124999951571226,5.4375001863372745,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.999808895710472,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,22,22,1.0,0.25,-4.562499976716936,"[""finish""]",False,False,4,0.25,[],0,0.0,[],[],[1],0.25,"[1,4]","[1,4]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,False,True,-2.749999964609742,-1.8125000121071937,0.25,0.0,0.0,0.0,0.5,0.0,False,False,False,False,0.010328152757292612,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,12,12,1.0,0.3333333333333333,-4.187500084284693,"[""finish""]",False,True,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,False,True,-4.5624998467974365,0.3749997625127435,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,False,False,0.01495708535135229,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,13,13,1.0,0.3333333333333333,-6.499999979976565,"[""finish""]",False,False,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,False,True,-6.874999820603989,0.3749998406274244,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,False,False,0.001501182286750694,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,8,8,1.0,1.0,6.062500051106326,"[""finish""]",True,True,4,1.0,[],0,0.0,[4],[4],"[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,True,True,3.562500092200935,2.4999999589053914,0.75,0.25,0.25,-0.25,1.0,0.0,True,False,True,False,0.9976768375958213,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,10,10,1.0,0.25,7.500000099331373,"[""finish""]",False,True,4,0.25,[3],1,0.25,[],[3],"[1,3]",0.5,"[1,3]","[1,3]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,True,True,2.124999973922968,5.375000125408405,0.25,0.0,0.25,0.0,0.5,0.0,False,True,True,False,0.9994472214179543,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,4,4,1.0,1.0,8.062499752675649,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,True,True,1.8124999776482584,6.249999775027391,0.0,1.0,0.5,-0.5,1.0,0.0,True,False,True,False,0.9996849612280264,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,4,4,1.0,1.0,7.187500110274414,"[""finish""]",False,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,True,True,3.374999973922968,3.8125001363514457,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9992445944505095,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,10,10,1.0,1.0,6.499999940919224,"[""finish""]",True,False,2,1.0,[],0,0.0,[],[],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,True,True,6.374999950290658,0.1249999906285665,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,0.9984988176547052,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,5,5,1.0,1.0,4.875000050989911,"[""finish""]",True,True,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,True,True,3.2500000074505806,1.6250000435393304,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9924227591155743,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,5,5,1.0,1.0,7.937499885694706,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,True,True,3.9375000884756446,3.9999997972190617,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9996430293241731,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,12,12,1.0,1.0,0.125,"[""finish""]",True,False,2,1.0,[],0,0.0,[],[],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,True,True,-1.3125000149011612,1.4375000149011612,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False,0.5312093733737563,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,7,7,1.0,1.0,7.374999845982529,"[""finish""]",False,True,4,1.0,[],0,0.0,"[2,3,4]","[2,3,4]","[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,True,True,2.3125000074505806,5.062499838531949,0.25,0.75,0.25,-0.25,1.0,0.0,True,False,True,False,0.9993736657454846,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,6,6,1.0,1.0,5.937499991734512,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,True,True,4.062499862164259,1.8750001295702532,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9973683260034206,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,5,5,1.0,1.0,6.25000007764902,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,True,True,0.9999999552965164,5.250000122352503,0.0,1.0,0.5,-0.5,1.0,0.0,True,False,True,False,0.9980732654859933,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,5,5,1.0,1.0,7.625000125321094,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,True,True,3.562500050291419,4.062500075029675,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9995121429383268,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,5,5,1.0,0.0,8.37499996812403,"[""finish""]",False,False,2,0.0,[],0,0.0,[],[],[],0.0,[2],[2],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,True,True,4.500000081490725,3.874999886633304,0.0,0.0,0.0,0.0,0.5,0.0,False,False,True,False,0.999769493270661,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,8,8,1.0,0.25,5.500000084517524,"[""finish""]",False,True,4,0.25,[],0,0.0,[],[],[1],0.25,[],[1],0.25,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,True,True,5.5624999676365405,-0.0624998831190168,0.25,0.0,0.0,0.0,0.25,0.0,False,False,True,False,0.9959298626267017,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,14,14,1.0,0.25,-5.499999990919605,"[""finish""]",False,False,4,0.25,[],0,0.0,[],[],[4],0.25,[],[4],0.25,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,False,True,-6.562499946274329,1.062499955354724,0.25,0.0,0.0,0.0,0.25,0.0,False,False,False,False,0.00407013775270416,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,4,4,1.0,1.0,7.562499779218342,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,[1],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,True,True,2.124999932944774,5.4374998462735675,0.0,1.0,0.5,-0.5,0.5,0.5,True,False,True,False,0.9994806950209116,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,8,8,1.0,1.0,3.812499930150807,"[""finish""]",True,False,4,1.0,[],0,0.0,[],[],"[1,2,3,4]",1.0,"[1,2]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,True,True,3.562500006519258,0.2499999236315488,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,0.9783846657601738,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,4,4,1.0,1.0,6.875000015890691,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,True,True,1.3124999850988388,5.562500030791853,0.0,1.0,0.5,-0.5,1.0,0.0,True,False,True,False,0.9989677689796311,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,5,5,1.0,1.0,6.187499864201527,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,[2],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,True,True,3.3749999552965164,2.8124999089050107,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9979492561821659,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,6,6,1.0,1.0,7.187500053027179,"[""finish""]",True,False,4,1.0,[],0,0.0,"[1,2,3,4]","[1,2,3,4]","[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,True,True,0.5625,6.625000053027179,0.0,1.0,0.25,-0.25,1.0,0.0,True,False,True,False,0.9992445944072973,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,6,6,1.0,0.3333333333333333,5.499999947147444,"[""finish""]",False,True,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,True,True,2.0625000074505806,3.4374999396968633,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False,0.9959298620698622,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,6,6,1.0,0.6666666666666666,5.812500090221874,"[""finish""]",False,False,3,0.6666666666666666,[],0,0.0,[3],[3],"[2,3]",0.6666666666666666,"[1,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,True,True,3.187499975785613,2.625000114436262,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,0.0,False,False,True,False,0.9970189675382978,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,9,9,1.0,1.0,4.124999959487468,"[""finish""]",True,False,4,1.0,[],0,0.0,[],[],"[1,2,3,4]",1.0,"[1,2,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,True,True,1.8749999776482584,2.24999998183921,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,0.9840936076540274,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,3,3,1.0,1.0,6.499999918276444,"[""finish""]",False,True,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,True,True,1.8125000596046448,4.687499858671799,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9984988176207652,1.0,1.0,0.0,0.0
