question_id,event,delta_margin,positive_shift,rounds
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,No gold-evidence gain,1.1250001282120745,0.6666666666666666,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Gold-evidence gain,2.9687498447310645,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,No gold-evidence gain,0.5781250789150363,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Gold-evidence gain,3.1250001264270395,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,No gold-evidence gain,1.5312499962747097,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Gold-evidence gain,4.3750000247964635,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,No gold-evidence gain,1.0937499476713128,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Gold-evidence gain,7.875000333340722,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,No gold-evidence gain,2.750000036554411,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Gold-evidence gain,5.31250002401066,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,No gold-evidence gain,-0.6562499924378548,0.4166666666666667,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Gold-evidence gain,0.9062500134459697,0.75,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,No gold-evidence gain,1.828125003958121,0.75,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Gold-evidence gain,1.9374999571591616,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,No gold-evidence gain,0.12132352250902091,0.35294117647058826,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Gold-evidence gain,3.0624999583524186,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,No gold-evidence gain,2.0208333156382046,0.6666666666666666,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Gold-evidence gain,6.812499785781256,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,No gold-evidence gain,5.687499993480742,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Gold-evidence gain,2.500000074505806,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,No gold-evidence gain,2.093749978579581,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Gold-evidence gain,3.031250058382284,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,No gold-evidence gain,1.3749999703528981,0.3333333333333333,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Gold-evidence gain,6.687500117957825,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,No gold-evidence gain,2.5624999701976776,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Gold-evidence gain,1.1249999925494194,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,No gold-evidence gain,1.2343749891660991,0.625,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Gold-evidence gain,5.31250006207847,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,No gold-evidence gain,3.4374998919665813,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Gold-evidence gain,1.6250000074505806,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,No gold-evidence gain,1.2812499901265255,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Gold-evidence gain,6.125000062253093,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,No gold-evidence gain,2.5625000265426934,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Gold-evidence gain,3.0624999961582944,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,No gold-evidence gain,1.3333333402018372,0.6666666666666666,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Gold-evidence gain,0.0625,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,No gold-evidence gain,0.4999999892121802,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Gold-evidence gain,5.624999949912308,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,No gold-evidence gain,-0.00694442097705582,0.3333333333333333,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Gold-evidence gain,2.8124999103019945,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,No gold-evidence gain,2.50000002629046,0.6666666666666666,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Gold-evidence gain,2.020833279559156,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,No gold-evidence gain,2.6562499694991857,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Gold-evidence gain,6.749999835999915,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,No gold-evidence gain,5.62500006519258,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Gold-evidence gain,1.8124999962747097,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,No gold-evidence gain,1.6999999716645107,0.8,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Gold-evidence gain,3.0624999545980245,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,No gold-evidence gain,2.1562499937135726,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Gold-evidence gain,5.999999710715201,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,No gold-evidence gain,7.1875000996515155,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Gold-evidence gain,3.4687500388372428,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,No gold-evidence gain,2.77083325603356,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Gold-evidence gain,5.374999853374902,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,No gold-evidence gain,2.62500006146729,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Gold-evidence gain,4.374999842606485,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,No gold-evidence gain,0.5125000140629709,0.6,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Gold-evidence gain,0.9687498815910658,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,No gold-evidence gain,3.6458334065003632,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Gold-evidence gain,7.250000050917151,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,No gold-evidence gain,2.6562499017454684,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Gold-evidence gain,3.9166665873878324,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,No gold-evidence gain,-0.5750000147847458,0.2,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Gold-evidence gain,3.187500037252903,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,No gold-evidence gain,0.2045454656789926,0.36363636363636365,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Gold-evidence gain,0.8124999888241291,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,No gold-evidence gain,1.3375000041909515,0.8,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Gold-evidence gain,0.8437498994753696,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,No gold-evidence gain,4.031250034458935,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Gold-evidence gain,5.062500008381903,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,No gold-evidence gain,0.7708333616610616,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,No gold-evidence gain,0.23863635821775955,0.36363636363636365,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Gold-evidence gain,3.468749927375029,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,No gold-evidence gain,3.1562499590218067,0.5,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Gold-evidence gain,-1.4062499552965164,0.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,No gold-evidence gain,0.5500000140396878,0.4,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Gold-evidence gain,4.437500220199581,1.0,1
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,No gold-evidence gain,-0.11718752705928637,0.5,1
